QUESTION,BT LEVEL
Suggest  any  TWO  (2)  efforts  that  organization  may  perform  in  order  to discourage unethical behavior.,SYNTHESIS
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,APPLY
Define factors of production.,KNOWLEDGE
Briefly describe FIVE (5) general types of factors of production.,COMPREHENSION
"In your opinion,  provide  any  TWO  (2)  reasons  why  the  actions  of  one  firm  can significantly affect the sales of the other firms in an oligopoly market. ",COMPREHENSION
Define electronic commerce.,KNOWLEDGE
Explain THREE (3) broad categories of e-commerce with examples.,COMPREHENSION
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,COMPREHENSION
Advise Smith on any FIVE (5) types of information which should be included in the website.,SYNTHESIS
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,SYNTHESIS
Differentiate between data and information using examples.,ANALYSIS
State any FOUR (4) characteristics of valuable information.,KNOWLEDGE
Explain the differences between volatile and non-volatile storage.,COMPREHENSION
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,SYNTHESIS
List and describe THREE (3) accounting cycles in an Accounting Information System.,KNOWLEDGE
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,APPLY
State FOUR (4) basic business activities that are performed in the revenue cycle.,KNOWLEDGE
List any THREE (3) practical approaches for payment collection  in revenue cycle.,KNOWLEDGE
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,ANALYSIS
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",SYNTHESIS
Illustrate each of these situations with TWO (2) real-life examples.  ,COMPREHENSION
Explain the differences between ethical dilemma and ethical lapse.,COMPREHENSION
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,EVALUATE
Differentiate between Market Economy and Planned Economy.,ANALYSIS
Provide  each  of  Market  Economy  and  Planned  Economy  with  an example.,COMPREHENSION
Differentiate between a wholesaler and a retailer.,ANALYSIS
"In your opinion, identify the relationship between factors of and a country's economic system.",COMPREHENSION
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,KNOWLEDGE
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,EVALUATE
Construct a basic diagram or figure to demonstrate your understandings on what Information System is.,COMPREHENSION
State a main difference between a customer and a contact.,COMPREHENSION
Identify ONE (1) most likely error of the following quotation.,KNOWLEDGE
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,APPLY
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",COMPREHENSION
State your recommended solution with justification.,EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,EVALUATE
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,SYNTHESIS
Justify your answers with elaborations by providing any TWO (2) reasons.,EVALUATE
Differentiate between data and information using a real life example.,ANALYSIS
Briefly  discuss  on the  difference  between  volatile  and  non-volatile storage.,COMPREHENSION
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,COMPREHENSION
Provide a real life example on conflict of interest situation.,COMPREHENSION
Illustrate  your understanding for oligopoly competition and monopolistic competition using ONE (1) real life example for each.,COMPREHENSION
Briefly discuss any TWO (2) consequences for whistle-blowing activity.,COMPREHENSION
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,KNOWLEDGE
Provide THREE (3) examples of input devices.,KNOWLEDGE
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,COMPREHENSION
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,COMPREHENSION
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,EVALUATE
Explain the concept of clicks-and-bricks model in e-commerce.,COMPREHENSION
Explain each inventory control method and suggest TWO (2) types of products for each method.,SYNTHESIS
Explain Greimas square tool and discuss how it can be applied the aviation industry.,APPLY
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,KNOWLEDGE
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,COMPREHENSION
Provide TWO  (2) possible reasons why AirAsia  decide to offer this new online service.,COMPREHENSION
Identify  THREE  (3) possible  threats  you  should  anticipate  for this Internet-based business.,COMPREHENSION
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,EVALUATE
Explain  the  concept  of  Customer  Relationship  Management  (CRM).,COMPREHENSION
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,APPLY
Discover FOUR (4) characteristic of IT infrastructure to be considered.,SYNTHESIS
Concisely define what SWOT analysis is and state why it is frequently producing conflicting views.,COMPREHENSION
Formulate the profit for the company. ,SYNTHESIS
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,APPLY
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,KNOWLEDGE
Cloud computing evolved from earlier technologies. State them.,KNOWLEDGE
Briefly  explain  any  TWO  (2) observations  of information  technology trend using Moore's Law.,COMPREHENSION
Relate cycle-time reduction to improved performance. Justify your answer.,EVALUATE
Define privacy.,KNOWLEDGE
"In your own words, describe Supply Chain Management (SCM).",COMPREHENSION
"In  your  opinion,  discuss  how  modern   supply  chain  management systems facilitate a pull-based  model.",COMPREHENSION
Define the term Radio Frequency Identification (RFID).,KNOWLEDGE
Explain how RFID provides value to businesses.,COMPREHENSION
"Use Porter's five competitive forces to analyze FiredUp, Inc.",APPLY
Explain how GST approach can be deployed in the context of Accounting Information System.,APPLY
"Base on the case study given, summarize THREE (3) ISM security problems.",COMPREHENSION
Classify information systems based on the support IS can provide.,COMPREHENSION
Explain how Referral Networks approach can be used as a tool to increase number of customers.,APPLY
Draw the diagrams for a centralized database and a distributed database.,COMPREHENSION
Explain how the future of social media can be explained by Web 3.0.  ,COMPREHENSION
Define knowledge and provide an example of knowledge produced by a vehicle management system.,KNOWLEDGE
Identify PayPal's business model.,KNOWLEDGE
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,EVALUATE
Define CRM and discuss how the CRM can be implemented in the business environment.,APPLY
Examine how e-commerce facilitates Value Chain and Supply Chain.,ANALYSIS
Explain how auction is related to dynamic pricing.,COMPREHENSION
Compare and contrast Address Verification  System (AVS) and Card verification number (CVN).,ANALYSIS
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,EVALUATE
Personalization is becoming an important element in Electronic Commerce. Explain TWO (2) techniques that can be used to learn about consumer behavior and how it can be used to facilitate customer service.,COMPREHENSION
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,SYNTHESIS
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,APPLY
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",EVALUATE
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,EVALUATE
Argue critically with relevant examples.,EVALUATE
Critically discuss the quote above and explain FIVE(5) ways the interest groups can be more effective with relevant examples.,ANALYSIS
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,ANALYSIS
Describe the term 'urbanization' and discuss how urbanization influences the development of marketing and advertising strategies.,COMPREHENSION
Critically discuss how demographic characteristics would affect a product development in a foreign market.,ANALYSIS
Analyze and discuss the challenges and opportunities that social media creates.,ANALYSIS
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,ANALYSIS
Show how NLP techniques can be deployed in business.,APPLY
